Date,Open,High,Low,Close,Share,Money,Numb
1999/10/30,7778.45 ,7859.55 ,7766.62 ,7854.85 ,2498893147,1.35567E+11,681893
1999/11/1,7871.07 ,7874.26 ,7808.90 ,7814.89 ,1539097000,75168091560,413588
1999/11/2,7789.35 ,7805.82 ,7687.72 ,7721.59 ,1418023604,66398343008,410639
1999/11/3,7729.10 ,7741.52 ,7572.11 ,7580.09 ,1605987887,69408653786,431360
1999/11/4,7589.93 ,7605.95 ,7460.21 ,7469.23 ,1623500002,68056616844,424419
1999/11/5,7466.63 ,7498.19 ,7404.31 ,7488.26 ,1549561690,55399981290,383824
1999/11/6,7526.65 ,7532.49 ,7371.51 ,7376.56 ,1696863938,68238728052,431934
1999/11/8,7318.28 ,7411.73 ,7261.31 ,7401.49 ,1481926000,54883386180,370199
1999/11/9,7420.05 ,7430.40 ,7362.69 ,7362.69 ,1176824634,46044583843,324585
1999/11/10,7356.73 ,7506.46 ,7355.38 ,7401.81 ,1615550446,56946116275,366419
1999/11/11,7464.99 ,7549.29 ,7464.99 ,7532.22 ,1713606876,82364325917,455087
1999/11/15,7575.61 ,7577.56 ,7492.48 ,7545.03 ,1317857912,67489672139,365124
1999/11/16,7570.98 ,7646.25 ,7554.17 ,7606.20 ,1988433551,1.03116E+11,539107
1999/11/17,7661.25 ,7687.04 ,7612.19 ,7645.78 ,2003544435,1.03572E+11,544816
1999/11/18,7633.61 ,7745.90 ,7626.05 ,7718.06 ,2492317339,1.39877E+11,681542
1999/11/19,7787.20 ,7858.40 ,7756.34 ,7770.81 ,2887293502,1.64872E+11,772450
1999/11/20,7890.51 ,7944.49 ,7864.57 ,7900.34 ,3110520065,1.72413E+11,803433
1999/11/22,7967.05 ,8088.53 ,7944.02 ,8052.31 ,3411454000,1.90582E+11,843426
1999/11/23,8105.12 ,8152.33 ,8007.17 ,8046.19 ,3004343034,1.71919E+11,806791
1999/11/24,7950.12 ,8034.73 ,7913.21 ,7921.85 ,2188536425,1.21839E+11,604641
1999/11/25,7919.68 ,7933.82 ,7808.92 ,7904.53 ,2345011497,1.25354E+11,609135
1999/11/26,7913.91 ,7955.13 ,7558.40 ,7595.44 ,3436765000,1.92923E+11,946813
1999/11/29,7706.12 ,7823.90 ,7688.58 ,7823.90 ,2285503935,1.18459E+11,590438
1999/11/30,7857.05 ,7884.23 ,7707.17 ,7720.87 ,2928627138,1.21718E+11,687661
1999/12/1,7702.18 ,7767.08 ,7684.42 ,7766.20 ,1929833839,81752527247,485369
1999/12/2,7802.83 ,7872.58 ,7773.75 ,7806.26 ,2152962633,93092219609,555922
1999/12/3,7880.49 ,7957.09 ,7858.58 ,7933.17 ,2791126132,1.2514E+11,673385
1999/12/4,8039.64 ,8087.49 ,7946.11 ,7964.49 ,3169187953,1.49741E+11,772177
1999/12/6,7982.74 ,7982.74 ,7859.76 ,7894.46 ,2725724000,1.19814E+11,665500
1999/12/7,7899.85 ,7907.01 ,7812.29 ,7827.05 ,2403887112,1.15546E+11,621927
1999/12/8,7826.85 ,7910.76 ,7798.92 ,7811.02 ,2556812295,1.36254E+11,682668
1999/12/9,7797.61 ,7862.37 ,7728.77 ,7738.84 ,2680653113,1.40038E+11,694043
1999/12/10,7754.57 ,7767.99 ,7687.36 ,7733.77 ,2207383063,1.14753E+11,582206
1999/12/13,7782.48 ,7883.61 ,7782.48 ,7883.61 ,2307807632,1.20344E+11,594333
1999/12/14,7921.20 ,7932.47 ,7843.58 ,7850.14 ,2577106188,1.32943E+11,662068
1999/12/15,7832.26 ,7895.22 ,7831.87 ,7859.89 ,2708233585,1.33494E+11,681125
1999/12/16,7891.08 ,7904.84 ,7721.50 ,7739.76 ,3155063137,1.56934E+11,815075
1999/12/17,7762.88 ,7792.99 ,7684.64 ,7723.22 ,2778164669,1.32599E+11,695782
1999/12/18,7748.69 ,7841.50 ,7748.69 ,7797.87 ,2200666126,1.08404E+11,576446
1999/12/20,7821.95 ,7827.49 ,7741.84 ,7782.94 ,1797890000,90495307190,446852
1999/12/21,7803.93 ,7946.05 ,7803.93 ,7934.26 ,2699824522,1.36618E+11,687395
1999/12/22,8033.37 ,8079.57 ,7979.72 ,8002.76 ,2954420852,1.65048E+11,776397
